"Species_Parkki","Species_Perch","Species_Pike","Species_Roach","Species_Smelt","Species_Whitefish","Weight","Length1","Height","Width"
0,1,0,0,0,0,135,20,5.875,3.525
0,1,0,0,0,0,110,20,5.5225,3.995
0,1,0,0,0,0,130,20.5,5.856,3.624
0,1,0,0,0,0,150,20.5,6.792,3.624
0,1,0,0,0,0,145,20.7,5.9532,3.63
0,1,0,0,0,0,150,21,5.2185,3.626
0,1,0,0,0,0,170,21.5,6.275,3.725
0,1,0,0,0,0,225,22,7.293,3.723
0,1,0,0,0,0,145,22,6.375,3.825
0,1,0,0,0,0,188,22.6,6.7334,4.1658
0,1,0,0,0,0,180,23,6.4395,3.6835
0,1,0,0,0,0,197,23.5,6.561,4.239
0,1,0,0,0,0,218,25,7.168,4.144
0,1,0,0,0,0,300,25.2,8.323,5.1373
0,1,0,0,0,0,260,25.4,7.1672,4.335
0,1,0,0,0,0,265,25.4,7.0516,4.335
0,1,0,0,0,0,250,25.4,7.2828,4.5662
0,1,0,0,0,0,250,25.9,7.8204,4.2042
0,1,0,0,0,0,300,26.9,7.5852,4.6354
0,1,0,0,0,0,320,27.8,7.6156,4.7716
0,1,0,0,0,0,514,30.5,10.03,6.018
0,1,0,0,0,0,556,32,10.2565,6.3875
0,1,0,0,0,0,840,32.5,11.4884,7.7957
0,1,0,0,0,0,685,34,10.881,6.864
0,1,0,0,0,0,700,34,10.6091,6.7408
0,1,0,0,0,0,700,34.5,10.835,6.2646
0,1,0,0,0,0,690,34.6,10.5717,6.3666
0,1,0,0,0,0,900,36.5,11.1366,7.4934
0,1,0,0,0,0,650,36.5,11.1366,6.003
0,1,0,0,0,0,820,36.6,12.4313,7.3514
0,1,0,0,0,0,850,36.9,11.9286,7.1064
0,1,0,0,0,0,900,37,11.73,7.225
0,1,0,0,0,0,1015,37,12.3808,7.4624
0,1,0,0,0,0,820,37.1,11.135,6.63
0,1,0,0,0,0,1100,39,12.8002,6.8684
0,1,0,0,0,0,1000,39.8,11.9328,7.2772
0,1,0,0,0,0,1100,40.1,12.5125,7.4165
0,1,0,0,0,0,1000,40.2,12.604,8.142
0,1,0,0,0,0,1000,41.1,12.4888,7.5958
0,0,1,0,0,0,200,30,5.568,3.3756
0,0,1,0,0,0,300,31.7,5.7078,4.158
0,0,1,0,0,0,300,32.7,5.9364,4.3844
0,0,1,0,0,0,300,34.8,6.2884,4.0198
0,0,1,0,0,0,430,35.5,7.29,4.5765
0,0,1,0,0,0,345,36,6.396,3.977
0,0,1,0,0,0,456,40,7.28,4.3225
0,0,1,0,0,0,510,40,6.825,4.459
0,0,1,0,0,0,540,40.1,7.786,5.1296
0,0,1,0,0,0,500,42,6.96,4.896
0,0,1,0,0,0,567,43.2,7.792,4.87
0,0,1,0,0,0,770,44.8,7.68,5.376
0,0,1,0,0,0,950,48.3,8.9262,6.1712
0,0,1,0,0,0,1250,52,10.6863,6.9849
0,0,1,0,0,0,1600,56,9.6,6.144
0,0,1,0,0,0,1550,56,9.6,6.144
0,0,1,0,0,0,1650,59,10.812,7.48
0,0,0,0,1,0,6.7,9.3,1.7388,1.0476
0,0,0,0,1,0,7.5,10,1.972,1.16
0,0,0,0,1,0,7,10.1,1.7284,1.1484
0,0,0,0,1,0,9.7,10.4,2.196,1.38
0,0,0,0,1,0,9.8,10.7,2.0832,1.2772
0,0,0,0,1,0,8.7,10.8,1.9782,1.2852
0,0,0,0,1,0,10,11.3,2.2139,1.2838
0,0,0,0,1,0,9.9,11.3,2.2139,1.1659
0,0,0,0,1,0,9.8,11.4,2.2044,1.1484
0,0,0,0,1,0,12.2,11.5,2.0904,1.3936
0,0,0,0,1,0,13.4,11.7,2.43,1.269
0,0,0,0,1,0,12.2,12.1,2.277,1.2558
0,0,0,0,1,0,19.7,13.2,2.8728,2.0672
0,0,0,0,1,0,19.9,13.8,2.9322,1.8792
